"date","Run","Interval","reqrate","rate","MB/sec","bytes/io","read%","resp","read_resp","write_resp","resp_max","resp_std","xfersize","threads","rdpct","rhpct","whpct","seekpct","lunsize","version","compratio","dedupratio","queue_depth","cpu_used","cpu_user","cpu_kernel","cpu_wait","cpu_idle"
"05:57:25.096","max4kwritecurverun","1","999977.0000","1141.0000","4.4570","4096","100.0000","188.8984","188.8984","0.0000","519.5120","100.1642","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","295.1904","n/a","n/a","n/a","n/a","n/a"
"05:57:26.010","max4kwritecurverun","2","999977.0000","1740.0000","6.7969","4096","100.0000","290.9360","290.9360","0.0000","665.0950","53.7039","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","501.9228","n/a","n/a","n/a","n/a","n/a"
"05:57:27.036","max4kwritecurverun","3","999977.0000","1754.0000","6.8516","4096","100.0000","290.3170","290.3170","0.0000","606.9650","46.3677","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.8621","n/a","n/a","n/a","n/a","n/a"
"05:57:28.015","max4kwritecurverun","4","999977.0000","1743.0000","6.8086","4096","100.0000","292.1995","292.1995","0.0000","679.4790","56.6634","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","506.1422","n/a","n/a","n/a","n/a","n/a"
"05:57:29.016","max4kwritecurverun","5","999977.0000","1758.0000","6.8672","4096","100.0000","294.2903","294.2903","0.0000","536.8370","45.9386","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.0012","n/a","n/a","n/a","n/a","n/a"
"05:57:30.014","max4kwritecurverun","6","999977.0000","1841.0000","7.1914","4096","100.0000","276.5789","276.5789","0.0000","662.8110","40.8230","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","513.2272","n/a","n/a","n/a","n/a","n/a"
"05:57:31.014","max4kwritecurverun","7","999977.0000","1594.0000","6.2266","4096","100.0000","313.1530","313.1530","0.0000","614.5760","78.4475","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.3995","n/a","n/a","n/a","n/a","n/a"
"05:57:32.014","max4kwritecurverun","8","999977.0000","1792.0000","7.0000","4096","100.0000","289.8652","289.8652","0.0000","582.4570","86.4843","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.6571","n/a","n/a","n/a","n/a","n/a"
"05:57:33.012","max4kwritecurverun","9","999977.0000","1787.0000","6.9805","4096","100.0000","288.5169","288.5169","0.0000","598.8360","59.6067","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.4576","n/a","n/a","n/a","n/a","n/a"
"05:57:34.015","max4kwritecurverun","10","999977.0000","1771.0000","6.9180","4096","100.0000","288.4371","288.4371","0.0000","580.7350","49.2280","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.1924","n/a","n/a","n/a","n/a","n/a"
"05:57:35.010","max4kwritecurverun","11","999977.0000","1817.0000","7.0977","4096","100.0000","282.3828","282.3828","0.0000","681.7880","54.6200","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.8929","n/a","n/a","n/a","n/a","n/a"
"05:57:36.009","max4kwritecurverun","12","999977.0000","1804.0000","7.0469","4096","100.0000","283.9494","283.9494","0.0000","641.8360","44.5718","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.7605","n/a","n/a","n/a","n/a","n/a"
"05:57:37.000","max4kwritecurverun","13","999977.0000","1771.0000","6.9180","4096","100.0000","288.0623","288.0623","0.0000","821.1140","61.4213","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.9099","n/a","n/a","n/a","n/a","n/a"
"05:57:38.013","max4kwritecurverun","14","999977.0000","1833.0000","7.1602","4096","100.0000","280.8913","280.8913","0.0000","590.4420","65.4228","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.9012","n/a","n/a","n/a","n/a","n/a"
"05:57:39.011","max4kwritecurverun","15","999977.0000","1780.0000","6.9531","4096","100.0000","283.5184","283.5184","0.0000","557.3760","69.7644","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.2597","n/a","n/a","n/a","n/a","n/a"
"05:57:40.010","max4kwritecurverun","16","999977.0000","1797.0000","7.0195","4096","100.0000","286.1513","286.1513","0.0000","610.1260","81.4753","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.2328","n/a","n/a","n/a","n/a","n/a"
"05:57:41.018","max4kwritecurverun","17","999977.0000","1851.0000","7.2305","4096","100.0000","279.9461","279.9461","0.0000","562.9980","70.3944","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.0999","n/a","n/a","n/a","n/a","n/a"
"05:57:42.011","max4kwritecurverun","18","999977.0000","1859.0000","7.2617","4096","100.0000","275.0037","275.0037","0.0000","524.0940","48.5743","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.7701","n/a","n/a","n/a","n/a","n/a"
"05:57:43.011","max4kwritecurverun","19","999977.0000","1740.0000","6.7969","4096","100.0000","288.9470","288.9470","0.0000","719.9820","60.1793","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","512.2158","n/a","n/a","n/a","n/a","n/a"
"05:57:44.000","max4kwritecurverun","20","999977.0000","1779.0000","6.9492","4096","100.0000","291.2985","291.2985","0.0000","594.1760","75.9304","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","511.4394","n/a","n/a","n/a","n/a","n/a"
"05:57:45.011","max4kwritecurverun","21","999977.0000","1867.0000","7.2930","4096","100.0000","276.7729","276.7729","0.0000","556.9070","59.6990","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","513.0209","n/a","n/a","n/a","n/a","n/a"
"05:57:46.000","max4kwritecurverun","22","999977.0000","1687.0000","6.5898","4096","100.0000","300.8886","300.8886","0.0000","687.8360","62.2834","4096","512.0000","100.0000","0.0000","0.0000","80.0000","4095.0000","n/a","n/a","n/a","510.7406","n/a","n/a","n/a","n/a","n/a"
