"date","Run","Interval","reqrate","rate","MB/sec","bytes/io","read%","resp","read_resp","write_resp","resp_max","resp_std","xfersize","threads","rdpct","rhpct","whpct","seekpct","lunsize","version","compratio","dedupratio","queue_depth","cpu_used","cpu_user","cpu_kernel","cpu_wait","cpu_idle"
"07:22:29.084","webcurverun","1","999977.0000","1292.0000","10.0938","8192","95.2786","13.8545","14.4978","0.8731","115.0370","10.9906","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","18.5283","n/a","n/a","n/a","n/a","n/a"
"07:22:30.047","webcurverun","2","999977.0000","2341.0000","18.2891","8192","94.6604","13.5909","14.2882","1.2291","108.0420","10.8260","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.5003","n/a","n/a","n/a","n/a","n/a"
"07:22:31.021","webcurverun","3","999977.0000","2266.0000","17.7031","8192","95.6311","13.6945","14.2982","0.4794","104.0840","10.4306","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.1782","n/a","n/a","n/a","n/a","n/a"
"07:22:32.019","webcurverun","4","999977.0000","2468.0000","19.2812","8192","94.8136","13.0539","13.7305","0.6847","90.5940","9.7858","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","32.0774","n/a","n/a","n/a","n/a","n/a"
"07:22:33.023","webcurverun","5","999977.0000","2361.0000","18.4453","8192","95.3833","13.4629","14.0728","0.8638","107.4960","10.7572","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.7710","n/a","n/a","n/a","n/a","n/a"
"07:22:34.016","webcurverun","6","999977.0000","2343.0000","18.3047","8192","95.3905","13.6414","14.2823","0.3778","110.3760","11.6131","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.9922","n/a","n/a","n/a","n/a","n/a"
"07:22:35.012","webcurverun","7","999977.0000","2261.0000","17.6641","8192","95.8425","14.0702","14.6641","0.3791","102.9370","11.3750","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.9641","n/a","n/a","n/a","n/a","n/a"
"07:22:36.009","webcurverun","8","999977.0000","2252.0000","17.5938","8192","95.1155","14.2510","14.9418","0.7991","110.8220","11.5109","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.9783","n/a","n/a","n/a","n/a","n/a"
"07:22:37.010","webcurverun","9","999977.0000","2229.0000","17.4141","8192","94.5267","14.3507","15.1577","0.4131","103.9290","11.8660","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.9962","n/a","n/a","n/a","n/a","n/a"
"07:22:38.014","webcurverun","10","999977.0000","2162.0000","16.8906","8192","94.2646","14.8143","15.6708","0.7357","124.4920","12.5546","8192","32.0000","95.0000","0.0000","0.0000","75.0000","8191.0000","n/a","n/a","n/a","31.9849","n/a","n/a","n/a","n/a","n/a"
